District,Cuisine,Reviews,Restaurant_Name,Rating,Cost,Wait_Time,Restuaruant_Link
Central,American,I wanted the weekend brunch with free flow but the craving for a good pizza took over me. Finis is one of the best places for pizza. The Bronx hits the spot. Fried calamari was great and tiramisu was a bit jelly like and not too sweet. Looking forward to my next visit. 000000,Fini's,nan,200,0,www.openrice.com/en/hongkong/restaurant/central-finis/614574?tc=rvw2&con=rvw
Central,American,"Shake shack - a world famous burger joint  that has taken social media by storm has finally landed in Hong Kong. No more fantasising from checking out Instagram photos Hongkongers but it also means that people are going crazy about this place. I went to this restaurant much later than usual (a whole year after opening) hoping to minimise my queuing time and this proved me wrong. The restaurant was super packed and I waited in the queue for 15 mins to place order, plus another 10 minutes before I could devour my burgers. Knowing that it might be the last time to visit, we ordered everything we wanted in one go. Shack burger (double) - cheeseburger with lettuce, tomato, shacksauceAlways loved brioche buns for the fluffiness and buttery sweet flavour that go well with any ingredients. The beef patty was thick, juicy and slightly seasoned, with melted cheese clinging to it. The vegetables were fresh and crisp too but the shacksauce didnt really stand out. Not bad but not something unforgettable. Shroom burger - Deep fried portobello mushroom filled with muenster and cheddar cheese, topped with lettuce, tomato, shacksauceThis one was a must-try! The crispy and slightly chewy portobello mushroom with oozing cheese was the most satisfying ever! The vegetables balanced out the fattiness and saltiness of the cheese and all of these made a burger in heaven! Hamburger with lettuce, tomato and onionsTheir hamburger was rather ordinary without the shacksauce and cheese. Not that its not yummy but probably more for people who like it simple. Cheese friesI prefer crunchy and thick cut fries so Shake Shacks version easily ticked my boxes, only if the fries were slightly more seasoned. The cheese sauce was alright but didnt lift the flavours too much. Finish this quickly or else the fries will get soggy. Coffee shakeWoah this is the shake I am talking about! Thick, creamy and full of coffee aroma from the first sip! Get this if you are a coffee lover. Milk tea shake A flavour only offered in Hong Kong stores so I had high expectations. Sadly, the milk tea flavour resembles that of English milk tea instead of the Hong Kong version. It was a little too sweet for my liking too. Iced teaI thought this would be some kind of sweetened lemon or peach iced tea but it was literally an iced tea. It was still refreshing but could be bland when eaten with burgers and fries. If Im visiting for a second time, Im going for their fifty/fifty (a mix of lemonade and iced tea).0000",Shake Shack,3.3,100,15,www.openrice.com/en/hongkong/restaurant/central-shake-shack/568104?tc=rvw2&con=recRvw
Central,American,"I brought my parents to lawrys in order to celebreate my dads birthday. I chose the Sunday brunch. I like the environment as it is quite quiet, so you are able to enjoy the family time or chat with friends while enjoying the steak and wine. We ordered steak with medium-rare and it was really good. You are able to see the chef cut the beef in front of you. Besides, we ordered an oyster platter. I will definitely go there again for their beef.0000",Lawrys The Prime Rib,4.6,500,nan,www.openrice.com/en/hongkong/restaurant/central-lawrys-the-prime-rib/629069?tc=rvw2&con=rvw
Central,American,"Sorry but it didn't live up to expectations and also the reputation it has in other countries. Food was not impressive - got a New York Sirloin and a Dry-Aged Beef Sandwich. The steak had no seasoning and the baguette used for the sandwich was rock hard. Couldn't chew it or rip it off. We took out the stuffing and left the bread.Service - the staff were just chit chatting amongst themselves and singing along to all the songs in the background. There was only 1 other table at the time and they sat on the opposite side. Made the restaurant seem more empty than it needed to be. Not up to par with the Wolfgang image.The Dessert of the Day was Creme Brle, unfortunately the consistency was too thick and gloopy, and the caramelised top was too hard - making the shards difficult to chew.For the price we paid, we could have easily gone to a Michelin Star restaurant.But the french fries were good, my highlight of the meal.",Wolfgang's Steakhouse Hong Kong,1.2,500,nan,www.openrice.com/en/hongkong/restaurant/central-wolfgangs-steakhouse-hong-kong/528192?tc=rvw2&con=rvw
Central,American,"Was here with 10 coworkers for a farewell lunch. The restaurant was half empty, however they still managed to take 50 mins from order to serving food. We ordered at 13:20 and the main dishes were served at 14:10. The food was disgusting. There is a tiny fly crawling on a salad. The chicken breast tasted more blend than boiled chicken I eat after workout. My friend and I both ordered a medium rare burger, however hers was almost raw and mind was fine. Another friend ordered a medium steak but it looks well-done. My friend demand to cancel the raw burger, because it was already passed our lunch hour and we cannot afford another 50 mins for another burger. And the chefs were really pissed. Like REALLY PISSED. They dead stared at us with arms crossed non stop after we cancel the raw burger. We were being polite and did not blame them for taking a decade to bring food to the table but the chefs figured they should be the one who's angry. They have charged the fee of 4 steaks instead of 3, which was wrong, and they were reluctant to cancel the bill of raw burger which my friend did't even eat. She has to get a sandwich from Seven-Eleven as a farewell lunch. This is the worst experience I've ever had in any restaurant.Supplementary InformationHSBC restaurant week",Craftsteak,1.3,200,50,www.openrice.com/en/hongkong/restaurant/central-craftsteak/16648?tc=rvw2&con=rvw
Central,American,"We, a group of 10 people, went to Craftsteakfor lunch during the restaurant week promotion. The meal includes starter, maincourse and dessert. For the starter, choices of octopus salad or tuna withavocado ceviche which served in a small portion and both tasted okay. After thestarter, we waited for entire 40 mins for the main course to be served whichwas TOTALLY UNACCEPTABLE. Knowing that we all went there during limited lunchtime and the restaurant was not even full.Finally, the food came. For the steak, requiredmedium and turned out to be well done. For the chicken breast, very dry andtasteless (not enough seasoning). For the burger, it was okay, a bit dry. Also,obviously they missed one order which was the burger and it was eventuallyserved after 50 mins we placed the order. AND IT WAS RAW! We request it to becancel and the waiter took it away and talked to the chef. The chef then keptstaring at us with an angry face.This is absolutely ridiculous. We came here asthe customer and we pay for the food. Not only the food served late (after 50mins) and it was raw! And we being treated in a very rude way? Honestly, Iwouldnt come here again and I do not recommend anyone to come here unless youwant to be treated rudely and waste your entire lunch hour to wait for the foodwhich was not even good.",Craftsteak,1.7,170,50,www.openrice.com/en/hongkong/restaurant/central-craftsteak/16648?tc=rvw2&con=rvw
Central,American,"I had never known there was such a restaurant famous for its wings until I was brought here by my friend. It was full during lunch on a week day so advanced reservation was better to secure your seats. Interior decoration was ok but seating was not so comfortable because I had to sit on the edge of one sofa.Menu0MenuI was a bit worried at first because the whole menu was full of wings and I was never a fans of wings and wanted to avoid deep-fried food and chicken skin.Menu0MenuLunch Menu0Lunch MenuLuckily I managed to see this Wrap Combo with a soup of the day, Chipotle Avo Wrap, a side, and a drink at a cost of $88 + 10% which was really quite a good bargain.Salad of the Day0Salad of the DayThe soup of the day had become salad of the day instead, which was ok. It was a marginal pass because it was obviously too oily.Sweet Potato Fries0Sweet Potato FriesYou can choose regular fries/salad, lotus root or sweet potato fries. I decided to go for sweet potato fries which were pretty good. There was not much salt seasoning which I really liked. They were rich in sweet potato and weren't too oily. The bad thing was that they were served with no sauce but it could be served on request. I asked for ketchup otherwise it would have been too dry eating them on their own. Overall quality of the fries was pretty good although i would have preferred thicker fries.Wingman Chipotle Avo Wrap0Wingman Chipotle Avo WrapWingman Chipotle Avo Wrap0Wingman Chipotle Avo WrapWe had to wait for a long long time to have our wrap but it was not disappointing. The Chipotle Avo Wrap contained Chipotle pulled Wings, Avocado, Roasted Sweet Peppers, Cherry Tomatoes and Lettuce with Sriracha Mayo. It was pretty GOOD! It was so freshly made that the wrap itself was so thin and slightly crispy. There were loads of ingredients with a lot of pulled wings and veggies. The Sriracha Mayo was very tasty and it was slightly spicy which made it very appetising. I would say there could have been more Avocado though. That said, it was a pretty good wrap and the portion was reasonably big.A drink was included in the set which could be soft drink, iced lemon tea with $10 top up for hot drink at your choice. I ordered coke zero which had nothing special to talk about.Two of my friends ordered their wings. They smelt pretty good when served to us but it was really a bit worrying that it might not be filling enough just having 10 wings. Really had to say that it was super inconvenient to eat the wings with forks. It would have been much better if they could provide gloves for eating the wings. I noticed some other eaters got gloves, maybe on request again?At the end of our meal, a discount of 15% was offered to us as a token of their apology for their late service today. Had to say that the service of the female (seemingly only) server while that of another guy was not so friendly because he always wore a black face.Not a bad place to come back but I think I would still go for the wrap rather than the wings.",Wingman,4.1,84,0,www.openrice.com/en/hongkong/restaurant/central-wingman/626030?tc=rvw2&con=rvw
Central,American,"Went for lunch and had their lunch menu plus two extra orders of wings. Staff were really friendly and kind, and explained the different flavours.I tried the following:Buffalo wingsSingapore ZingCoffee dry rubHoisin honey and sesameBBQ dry rubLotus root fries All the flavours are delicious, especially the Buffalo (you could really taste the creamy butter and the tanginess of the vinegar/hot sauce).The Coffee dry rub tasted very unique with a distinctive roasted note and the rub provided an extra level of texture on top of the crispy wings. Lastly the Hoisin honey and sesame tasted the meatiest, as the Hoisin sauce really elevated the umami level in the wing. If you like wings, I highly recommend this place. Thanks for an awesome lunch Wingman!Menu0MenuLunch menu 0Lunch menu Singapore Zing - Singapore Zing and BBQ dry rub (top) ...0Singapore Zing - Singapore Zing and BBQ dry rub (top) ...Buffalo wings$ 690Buffalo wings$ 69Lotus root chips 0Lotus root chips Hoisin, Honey and sesame - Hoisin, Honey and Sesame + coffee dry rub on the right...$ 690Hoisin, Honey and sesame - Hoisin, Honey and Sesame + coffee dry rub on the right...$ 69",Wingman,nan,100,0,www.openrice.com/en/hongkong/restaurant/central-wingman/626030?tc=rvw2&con=recRvw
Central,American,"So this is the Wingman and I would expect they should do it way better than any bar.... right?The seating was pleasant, and service was great.We ordered the lunch menu that came with the cream of mushroom that tastes and thin like water.Wings, yes they do have many varieties, but most of them are not as saucy as I would expected. Dry.... most of the wings are dry and small.Fries and fried lotus were not bad.Verdict: Maybe my preference is the juicy big fried wings with or without sauce. I probably will not come again cause any bar can serve wings.",Wingman,3.1,100,60,www.openrice.com/en/hongkong/restaurant/central-wingman/626030?tc=rvw2&con=rvw
Central,American,BAS Burger (Double patty & double cheese!)Cost: $1180I know burgers can be VERY addictive cox I can never get bored with Burgers. Highly recommended you to go for the BAS Burger with double cheese and double patty. doubling your happiness! BAS Burger serves juicy and nice burgers but youre NOT coming with someone whom you wanna impress... its kinda oily and will get your hands greasy haha gotta be honest. Its not a comfy place for lunch (we were all sweating for the entire lunch) but defo a chillax place for drinks at night,BAS Burgers by Bitters and Sweets,4.6,130,nan,www.openrice.com/en/hongkong/restaurant/central-bas-burgers-by-bitters-and-sweets/486117?tc=rvw2&con=recRvw
Central,American,"Finally had a chance to try the famed (not sure about now) burger at IFC Mall. I had the greedy option  Shack Stack to try both the beef burger patty as well as the deep-fried Portobello. 0I was wow-ed by the idea of cutting the mushroom in half and filling it with melting cheese, but the practical issue of holding a bun with overflowing cheese sauce in your hand is not that handy! The burger tasted nice but the fries doesn't match the quality we expected. May come back soon to try the others.",Shake Shack,nan,120,10,www.openrice.com/en/hongkong/restaurant/central-shake-shack/568104?tc=rvw2&con=recRvw
Central,American,"I reserved a table for 2 a week ago for lunch and went their 1/f restaurant for dinning today. Usually I went to 1/f for dining instead of the ground floor as ground floor is always packed with diners. However, today when I went to 1/f, the bartender told me that the shortage of manpower, they did not open 1st floor for diners. So I have to go back to the ground floor. Luckily, today is not full. I was wondered why the restaurant is not full as usual. I noticed the servers and duty in charge person changed, I hope there's no change of my beloved uni pasta. When dish comes, the outlook is as same as before, taste like before .....however I cannot tell whats going wrong....seems the dish is not so delicious as before? Hm....in past time, I visited there at least 1 time a week...recently I tried the other restaurants and almost forgot this , haha....but today, I revisited again, it did not bring me any surprisingly good....not surprisingly bad....just I have no intention to visit again......0",Westwood Carvery,2.8,229,0,www.openrice.com/en/hongkong/restaurant/central-westwood-carvery/47057?tc=rvw2&con=recRvw
Central,American,"There has always been a long queue at Shake Shack since its opening last year. In fact, I have been waiting eagerly for its opening for months because my friend who travelled to the States told me that it is her favourite burger chain. Yet, the long queue had stopped me from visiting the restaurant. Finally, the craze is almost over and I could try the burger and fries! Even the queue was much shorter, we still needed to line up for around 20 minutes. After eating the burger and fries, I think the wait is totally worth it!Shack Burger (single), SmokeShack (single), Fries, Fifty/Fifty & Milk Tea Shake...$ 2050Shack Burger (single), SmokeShack (single), Fries, Fifty/Fifty & Milk Tea Shake...$ 205We tried two different burgersShack Burger (single) and SmokeShack (single), fries, Fifty/Fifty and Milk Tea Shake. The burgers were as mouth-watering as expected. Shack Burger was a classic cheeseburger with lettuce and tomato. The combination was simple yet delicious enough. Soft buns with juicy beef patty and melting cheese, my tummy was fully satisfied! For SmokeShack, the all-natural smoked Niman Ranch bacon was so crispy! At the same time, the spicy chopped cherry pepper and ShackSauce helped to lighten the fatty taste of the burger, so we enjoyed eating it! The golden brown fries were a perfect match with the burgers. I like the fact that the fries were quite thick, so apart from the crispy outside, you can taste the starch inside. For the drinks, we like Fifty/Fifty which was half lemonade and half organic iced tea. There was a good balance between the sour lemonade and the bitter iced tea. It was a refreshing drink to go with the fattening burgers and fries. However, we were a bit disappointed with the Milk Tea Shake as it was too sweet and the scent of tea was not strong enough.Overall, we were quite satisfied with our cheat meal at Shake Shack, especially for the fattening burgers. With its affordable price, we will definitely visit it again!",Shake Shack,nan,100,20,www.openrice.com/en/hongkong/restaurant/central-shake-shack/568104?tc=rvw2&con=recRvw
