District,Cuisine,Reviews,Restaurant_Name,Rating,Cost,Wait_Time,Restuaruant_Link
Central,Chinese,"Ive always been a huge fan of Shanghai food, especially their pan-fried bun and XiaoLongBao. After returning from Shanghai few months ago, Ive been searching for the best place for pan-fried buns for a while. Little did I know that theres a michelin star Cheung Hing Kee located just 20 mins from where I live and I swear to God, they really do have THE BEST pan-fried buns in town. Each and every single one of them came out hot and juicy. I had to be extremely careful to not burn my tongue with the broth inside the bun. The bottom of the buns were also crispy. The only thing I didnt like was that therere no seating so you gotta stand the whole time, but other than that, everything was Perfect. 100/100 would recommend and re-visit someday. 00",Cheung Hing Kee Shanghai Pan-fried Buns,4.8,50,nan,www.openrice.com/en/hongkong/restaurant/central-cheung-hing-kee-shanghai-pan-fried-buns/554383?tc=rvw2&con=rvw
Central,Chinese,"Yum cha is always my favourite place for modern dim sum. The decoration is very modern. There are some food you must not miss.  the molten custard steamed bun),  pineapple pastry in a bird cage), fried spicy  turnip cake. I would highly recommend their exquisite dim sum. Each of the dim sum has its own characters with good taste. But please be reminded that most of dim sum are just available before 6:00. 0000",Yum Cha,4.1,150,10,www.openrice.com/en/hongkong/restaurant/central-yum-cha/475054?tc=rvw2&con=recRvw
Central,Chinese,"Went out to have lunch with colleagues on a Happy Friday. Picked this restaurant as my colleagues wished to have Taiwanese food.0I chose this , as I missed the time I had unagi in Tokyo. To begin with, the whole piece of eel is grilled to an optimal juiciness and scent. You can smell a bit of charred taste, but the meat of the fish is still tender and moist. The sesame, seaweed on top also add some umami and crunchiness to the eel as well. The soft-boiled egg was a nice touch too, which adds some molten yolk to the rice. However, the rice is rather on the soft and mushy side0Sorry to say but the soup was mediocre, didn't expect much from it, but I suggest them to add more flavour to the soup. Will come back for the rice though.",,3.5,140,0,www.openrice.com/en/hongkong/restaurant/central-%E4%B8%80%E8%B5%B7%E9%A3%9F%E5%A0%82/603439?tc=rvw2&con=recRvw
Central,Chinese,"For those lazy lunch days where you just want to stay in and chill  Delicious and generously portioned local Hong Kong BBQ 0BBQ Pork & Soy Chicken Leg$ 800BBQ Pork & Soy Chicken Leg$ 80BBQ Pork & Soy Chicken Leg$ 800BBQ Pork & Soy Chicken Leg$ 80BBQ Pork and Soy Chicken Leg was tasty, portion generous.  This is not the slow cooked barbecue pork, but I think its just as good if not better.",Good BBQ,4.8,80,nan,www.openrice.com/en/hongkong/restaurant/central-good-bbq/472287?tc=rvw2&con=rvw
Central,Chinese,"A cozy gem serving Taiwanese cuisine in the hustle and bustle of Central in Hong Kong.Original flavour taiwanese bubble milk tea was tasty, creamy and with a strong tea taste, not overly sweet, bubbles chewy just the way they are meant to be!  Milk Tea0Milk TeaLunch set was served, I had the Salt and Pepper Chicken Leg Bento Set ()!  Beginning from the chicken leg, it was juicy and flavourful as you can taste the mild peppery marinate.  Huge serving and its very satisfying.Salt & Pepper Chicken Thigh with Rice $ 850Salt & Pepper Chicken Thigh with Rice $ 85Tomato scrambled eggs, corn, choi sum were the sides that it was served with, not bad at all!  A refreshing and interesting combination, quite different from the typical sides youd get. Ambience is clean and comfortable",What to Eat,4.7,85,nan,www.openrice.com/en/hongkong/restaurant/central-what-to-eat/588351?tc=rvw2&con=recRvw
Central,Chinese,"We were here last week to try the beef brisket soups with family, the service man who standing in front of their door was having an absolutely bad attitude. Guess they dont know how to treat customers and not to mention their beef is so hard to chew at and the soup does not taste fresh at all. Thats why their business is going down now. No lines after lunch time - You DESERVE it kau kee. will not come back ever again.",Kau Kee Restaurant,nan,55,15,www.openrice.com/en/hongkong/restaurant/central-kau-kee-restaurant/1618?tc=rvw2&con=rvw
Central,Chinese,"Came here for dinner to try its famous beef brisket noodles. The soup base is flavorful. The dining experience isnt. In the small space, the waiters cramp everyone in. I was alone, and asked to share a round table measuring ~1.2m in diameter with 6 other strangers. I cant even sit properly, let alone enjoy my meal!",Kau Kee Restaurant,nan,40,nan,www.openrice.com/en/hongkong/restaurant/central-kau-kee-restaurant/1618?tc=rvw2&con=rvw
Central,Chinese,"For a period of time, this restaurant survived me the toughest of times, it provided me quick and yet a very decent lunch experience daily.  Its tucked in the end of a secret food street, Chiu Lung Street, in the hub of Central district.  No super long queues because it is not cheap in price for the portion in comparison to what other restaurants offered along that street.  0Ox tongue soup rice noodle was never disappointing, I loved how it was thickly cut and texture was always super soft and moist.  Together with the  spicy sour preserved vegetables topping (+HK$6), it got me addicted.  The soup base is always a very clear and delicate beef broth which has so much flavour, this alone, in my opinion is worth the money.0Recently I tried this drunken chicken wings, I was lucky because by 1:40pm, this was the last order left.  I loved how it tasted very home made, because this small old restaurant did not make huge batches.  The drunken sauce was done just right - sweetness, tanginess of alcohol was very gentle yet enough to make it thoroughly absorbed.  Texture of meat was bouncy, and so was the skin. Size of the wings were also excellent!I can recommend more and more.... beef tendon soup rice noodles (), beef brisket soup rice noodles ()...deep fried fish balls () and ginger scallion noodles ()...",Yummy Noodle,4.8,100,5,www.openrice.com/en/hongkong/restaurant/central-yummy-noodle/112444?tc=rvw2&con=rvw
Central,Chinese,"I hadn't come for a long long time because it had been so hard to make a reservation for lunch hours on weekdays. I made a call about 2 weeks ago and surprisingly I managed to secure a table for 5.I was brought to the far end of the long corridor to occupy the seemingly best round table at the corner. With the pretty antique fans rotating on the high ceilings overlooking the little garden of the cityhall, it was quite a cozy environment for lunch indeed.00The menu had changed and it seemed that prices had generally inflated a little bit. Luckily the famous good old items were still there. I ordered my all-time favourite Linguine with Prawn in Tomato Sauce.Bread & Butter0Bread & ButterBread was served very soon, with 1 pack of butter for each of us. The bread was just slightly warm. It was the good old buttery flavour in a pretty soft texture. The butter was melting but it was ok to eat with the bread.Garden Salad with French Dressing0Garden Salad with French DressingA lunch set included an appetiser of Russian Borscht or Cream of Mushroom Soup or Garden Salad with French Dressing. I picked the salad, which was quite a big bowl when served with appropriate amount of dressing. The veggies seemed to be quite fresh.Linguine with Prawn in Tomato Sauce$ 1320Linguine with Prawn in Tomato Sauce$ 132Linguine with Prawn in Tomato Sauce used to be my all-time favourite, which I ordered almost every time during my visit. However, it had really disappointed me. The portion was HUGE as you can tell from the photo. There was plenty of sauce to finish off everything from the plate. However, the linguine itself was quite a ruin as it was too soft, not al dente at all. There were 5 big prawns which were meaty and fresh although they could have been better. The tomato sauce was ok but not as good as those before which was slightly orange in colour and tasted a little bit sour to make the whole thing so appetising.A drink was included in the set. I ordered hot lemon water with 3 thick slices of lemon. There was nothing special. I wish I could have chosen milk tea but I gave it up given my poor sleep quality recently.All the dishes my friends ordered seemed to be so huge in terms of portion and all of them almost finished everything so I could tell the quality of the food was not bad. Service was a bit slow, maybe because of our location. Overall price was still acceptable for lunch in Central.Although slightly disappointing, Maxim's Cafe would still remain one of my to-go restaurant for lunch. Next time I would try something else.",Maxim's Caf,nan,130,0,www.openrice.com/en/hongkong/restaurant/central-maxims-cafe/561975?tc=rvw2&con=rvw
Central,Chinese,"My first visit was a year ago with my commentary below:https://www.openrice.com/zh/hongkong/review/mains-better-than-dim-sum-e3126931This time I came in a group of 5 for lunch on a weekday. With no reservation, we managed to get such a table during rush hours! Amazing!As we were in quite a big group, we got to order quite a number of items to try!00Soup$ 1720Soup$ 172The 2 soups we ordered were and. They were presented in nice small tea pots. Taste-wise, they were delicious.We ordered 2 appetisers.Jelly Fish with Aged Vinegar$ 970Jelly Fish with Aged Vinegar$ 97Jelly Fish with Aged Vinegar was presented over smoke - seemed a bit unnecessary? Taste-wise just average. It was too pricey!$ 750$ 75I also had this last year. It tasted pretty good. There was no inflation in price for this dish.We ordered quite few dim sum.$ 640$ 64 looked very interesting with nicely made spring rolls like cigars and some ""smoke"" blowing out. Taste-wise, there was nothing special.Deep-fried milk rolls$ 640Deep-fried milk rolls$ 64The deep-fried milk rolls were actually quite thick but the milk inside was ok. There were 6 rolls and the photo was taken after we had finished one.$ 860$ 86I had this dim sum last year which cost just $75 but now price had inflated to $86 for 5! But quality had deteriorated. They were so small with insufficient soup. Don't order!$ 750$ 75 had nothing special. Over-priced.Lamb pie with curry sauce$ 750Lamb pie with curry sauce$ 75Lamb pie with curry sauce sucked. It was unfinished because no one wanted to finish it. There was no lamb inside the pie. Don't order!We ordered 2 mains to share.Thyme Snowflake Beef Ribs$ 2070Thyme Snowflake Beef Ribs$ 207Thyme Snowflake Beef Ribs were done pretty well which were so tender. However, it was quite pricey indeed.$ 1080$ 108 were of quite a big portion with about 10 pieces of pork feet. They were cooked pretty well and were so tender - just like those pork feet in ginger vinegar.We ordered 1 rice to share.$ 1410$ 141 seemed over-priced with very little sea eel.Overall, I would say that the quality of food was very uneven, with my conclusion being the same - mains better than dim sum. Presentation of some of the dishes was creative and interesting. However, the food was generally over-priced.",Ming Bistro,2.7,275,0,www.openrice.com/en/hongkong/restaurant/central-ming-bistro/528241?tc=rvw2&con=rvw
Central,Chinese,"Hot day today, Don't really want to eat a full meal for lunch.Then I found out this clean and friendly place to sit down and enjoy their home-made soup.The Chicken Soup with Mushrooms & Fish Maw is very tasty, they didn't put any MSG into the soup which made a big difference. They used natural ingredients to make such nice soup. I really enjoy drinking the soup.And then the owner told me that it's a critical moment now that the area does not have many tourists but I encouraged him that people will notice such lovely place very soon.The owner gave me apumpkin papaya jam for mixing with fresh milk as a gift. I am going to drink it for breakfast tomorrow^^.Sweet owner, sweet mission, sweet soup.Love it! - 0 - Chicken Soup with Mushrooms & Fish Maw - $ 680Chicken Soup with Mushrooms & Fish Maw - $ 68 - Chicken Soup with Mushrooms & Fish Maw$ 680 - Chicken Soup with Mushrooms & Fish Maw$ 68Supplementary InformationPlease order fishballs, siu mai there using their tailor-made spicy sauce. They are delicious!",As You Think,nan,68,0,www.openrice.com/en/hongkong/restaurant/central-as-you-think/629141?tc=rvw2&con=rvw
Central,Chinese,"Beautiful decor, polite and attentive staff, great dim sum and super nice mini egg tarts!! It was my friends birthday so I ordered Chinese birthday buns - they came on a dish with my friends name on it.  They took a digital photo for us and immediately printed it on a card with a birthday card signed by the staff which was a big surprise.  The chef even came out to wish my friend a happy birthday which was a nice touch. Food is good. 3 dim sum in each order - so its perfect for us as there were 3 of us.  Big thanks to the staff for making the day special for my friend.",The Chinese Library,nan,300,nan,www.openrice.com/en/hongkong/restaurant/central-the-chinese-library/590531?tc=rvw2&con=recRvw
Central,Chinese,"FoodFor a restaurant with a Michelin star sibling, it has a long way to go. The menu selection is limited, which I understand given the restaurant size.  The only positive feedback is that the dimsum came hot (as it should). The thickness of their dumpling wraps / flour rolls could be more delicate, need to work on their condiment selection (hot sauce, xo sauce), and the shrimp in the flour roll only had crunch but lacked flavor (i.e. missing garnishes). The ""goon tong gow"" was clear and flavorful, but nothing tastes good if the service is foul.  ServiceThe service was beyond appalling, their staff unprofessional. Not only did they check their mobile phone during service, some staff had very poor attitudes towards their patrons, and if they don't like you they have no hesitation to let you know this. All in all, a very unforgettable experience and one that I would not wish on anyone.  I will never visit this restaurant again.",NOVE Chinese Kitchen,2.1,186,nan,www.openrice.com/en/hongkong/restaurant/central-nove-chinese-kitchen/636629?tc=rvw2&con=rvw
Central,Chinese,"I went just before the restaurant opened and there was already a line forming outside. But now I completely understand why. The food here is absolutely exquisite. I got the two most recommended dishes, the curry beef brisket in soup with e-fu noodles, and the beef brisket in soup with e-fu noodles, and both were heavenly. Both flavors are well rounded and leave nothing lacking. The curry beef brisket has a nice kick of spice. The regular beef brisket has a nice rich flavor to it that makes it irresistible. So glad I came here. Service is fast and food is filling. Would definitely come again!!Curry beef brisket in soup with e-fu noodles and beef brisket in soup with e-fu noodles...0Curry beef brisket in soup with e-fu noodles and beef brisket in soup with e-fu noodles...",Kau Kee Restaurant,nan,55,5,www.openrice.com/en/hongkong/restaurant/central-kau-kee-restaurant/1618?tc=rvw2&con=recRvw
Central,Chinese,"If it wasnt recommended by my colleague, I wouldve never thought about coming here for lunch.   Lunch set has many options to choose from - definitely an incentive to come back and try out different combinations. 0Todays choice includes har gow (shrimp dumpling) and truffle mushroom dumpling.  They came in a neat steam basket.   Har gow was full of juicy shrimps.     Truffle dumpling was bursting with truffle flavors - they did not skimp on the truffle oil at all. Har gow and truffle mushroom dumpling 0Har gow and truffle mushroom dumpling Hot and sour soup was a let down.   I like the spiciness but not enough sourness to balance out the spice.  Hot and sour soup0Hot and sour soupFor main course I chose the roast pigeon.   Took a while to arrive but was definitely worth the wait.   It was freshly made and came in a beautiful basket!   Even more surprising was even the prawn crackers were warm!    The lotus leaf rice that came with it was also great; the fragrant smell of lotus leaf was infused into the rice.  0Roast pigeon0Roast pigeonRice Wrapped in lotus leaf0Rice Wrapped in lotus leafThis great lunch was topped off with the sweet almond cream for desert.   Very enjoyable.  Sweet almond cream0Sweet almond cream",Fang Fang,nan,220,0,www.openrice.com/en/hongkong/restaurant/central-fang-fang/531351?tc=rvw2&con=rvw
