District,Cuisine,Reviews,Restaurant_Name,Rating,Cost,Wait_Time,Restuaruant_Link
Central,Italian,I wanted the weekend brunch with free flow but the craving for a good pizza took over me. Finis is one of the best places for pizza. The Bronx hits the spot. Fried calamari was great and tiramisu was a bit jelly like and not too sweet. Looking forward to my next visit. 000000,Fini's,nan,200,0,www.openrice.com/en/hongkong/restaurant/central-finis/614574?tc=rvw2&con=rvw
Central,Italian,"Too noisy here, we could not here others clearly and we must speak very loudly... the service is just OK, waiters are polite but you have to waive so long to call them come0salad bar is pretty less in option, and the dishes are quite salty....make me drink a lot of water...0the sirloin was very tender and hard, we needed to chew a lot when eating itand the taste is just passed Wont come again, and definitely not worth for this price",Bistecca Italian Steak House,nan,385,nan,www.openrice.com/en/hongkong/restaurant/central-bistecca-italian-steak-house/36543?tc=rvw2&con=rvw
Central,Italian,"I took spaghetti, the tomato sauce was very bad and acidic. Probably kept for 4 years on the shelf. It came up all day up my stomach and at the end of the day, I had to go and vomit in the toilet at work. Very sad for me.I never saw a spaghetti so lousy in my life!1. needing salt2. 4 times more sauce than actual pasta. It was more a soup tomato spaghetti than spaghetti.3. out of date or acidic tomato sauce, is that still an italian restaurant?One manager, seemed to harass the waiters ladies. He was not shaved, which in asian culture is not very polite. Andhe talked very loudly and making derogatory remarks to the ladies waitress.Hey Isola, THANK YOU BUT GOODBYE, last time i come.",Isola Bar & Grill,nan,600,3,www.openrice.com/en/hongkong/restaurant/central-isola-bar-grill/11637?tc=rvw2&con=recRvw
Central,Italian,"It was a nice dining experience in PICI,in which it is a restaurant sitting just next to PMQ.PMQ is a place always filled with tourists,yet , there aren't a lot of places to eat inside.So , we decided to this place which always filledwith a lot of people.The overall vibe is very british, with furniture's and old lamps .We had three dishes.The first one is the beef tartare.It is well marinated with herbs and not stinky.The meat is tender and goes well with the welcoming bread.Then, we ordered two pastas.One is the pappardelle which is the thick and wide pasta and changed from PICI to that for the cheese and pepper signature taste.The flavour was strong and the texture is nice.The second one we have is the bologne ravioli.The sauce is not as strong as the previous one but the ravioli is in al dente texture . So , it's bravo ,tooThere was on the other day I tried the salmon ravoili andI like that better . So , guess I will still explore this shopagain .Bolognese Ravioili0Bolognese RavioiliBeef tartare0Beef tartare",Pici,3.6,250,0,www.openrice.com/en/hongkong/restaurant/central-pici/554180?tc=rvw2&con=recRvw
Central,Italian,"Came with a reservation. I think we made the reservation (for 4) on the day of, so it was a little difficult to get a good time. As such, we didn't sit down until like 1:30 pm. Almost everything on the lunch menu is paired with the buffet, which is actually really good. I tried really hard to look for something which didn't include the buffet, but I wasn't able to. As such, it would be nice if the restaurant could maybe think of some options for people who come for lunch but do not want to eat that much (aka the buffet). Anyway, I did actually wind up eating the buffet, and it was pretty good. They have stuff like sesame chicken, poke style tuna (raw), cucumber salad, papaya salad, sun dried tomatoes... quite a big selection! You can pair your buffet with a steak or something like that, but I think it's just too much food. I tried some of the chicken steak, which was quite decent as well. Overall, while I don't actually like eating this much, this place seems like a pretty good deal.",Bistecca Italian Steak House,4.3,250,0,www.openrice.com/en/hongkong/restaurant/central-bistecca-italian-steak-house/36543?tc=rvw2&con=recRvw
Central,Italian,"Day visit: heavily raining after the typhoon day!Service : they offer a napkin for me to dry out my soaking wet outfit Salad Bar: I keep remembering this wide variety of food, salad and dessertLocation wise is not MTR-nearby though I view it as burning more calories before having a good meal here Choice of food: salad with Parma ham, mussels, a number and delicious mixed salad, focaccia bread with Olive oilDessert: today untouched, i will be back The chicken salad, focaccia bread, mussel1The chicken salad, focaccia bread, mussel2 very deliciously mixed salad with pamelo and cucumber & Avocado ...02 very deliciously mixed salad with pamelo and cucumber & Avocado ...",Bistecca Italian Steak House,nan,200,0,www.openrice.com/en/hongkong/restaurant/central-bistecca-italian-steak-house/36543?tc=rvw2&con=rvw
Central,Italian,"I come back this place again as I am the card member and whatever you spend and you can store points for your future use. great, let's start.Didn't really realize how was the purpose to go there, But I am sure I had to meet a client but being flown aero plant perhaps.I really enjoy to do the TRIO offer and it includes drink. very kind and give away. ThanksI had the pizza and it claims it is veggie pizza with no meat. I tried, it is taste and very good, the olive taste is strong and lovely. pizza is thin and suitable to eat... If I can enjoy this offer and I must be sitting there everyday.00000",PizzaExpress,nan,160,5,www.openrice.com/en/hongkong/restaurant/central-pizzaexpress/456048?tc=rvw2&con=rvw
Central,Italian,Still one of the best in HK in terms of food quality and chef makes his own bread and pasta. Chicken and fish are always good signature dishes. I also love his wine selection which is always reasonably priced. Have been there so many time and still loves it!00,Rare Restaurant,4.8,150,0,www.openrice.com/en/hongkong/restaurant/central-rare-restaurant/546092?tc=rvw2&con=recRvw
Central,Italian,"Heard a lot of comments on how this is the best pizza in town! I have received mixed feedback, and decided to give it a try at lunch. I think its a nice place for lunch as its not crowded, the atmosphere is very nice to take a break from the busy city. They offered lunch combo, for under $200, you can enjoy a pizza with a appetizer. Not bad at all!0Salad as appetizer 00",Kytaly,4.1,250,0,www.openrice.com/en/hongkong/restaurant/central-kytaly/589349?tc=rvw2&con=rvw
Central,Italian,"Overall verdict: The freshly made pastas at Pici are fantastic! For brunch we had the tasting menu $290 gets you 2 starters , 3 mains and 2 desserts.What we ordered:1. cold cuts selection2. tuna tartare3. Pici4. Tagliolini5. Daily special which was safron cream tangliatelle with mussels6. tiramisu7. panacottaThe starters come in generous portions. My favourite of the day would be the cold cut selection which came with chunks of parmesan cheese and soft cheese. The tuna was good too but nothing special.The tagliolini and pici pastas were fantastic! There was plenty of truffle on the tagliolini and the parmasen and cream ratio was spot on.The safron cream mussel tangliatelle was way too salty for us. We couldn't finish this and the kitchen offered to bring us another pasta.The tiramisu is super creamy and panacotta was very smooth. I always love the dessert here.cold cuts0cold cutstuna tartare0tuna tartaretagliolini0tagliolinipici0piciSafron cream tangliatelle0Safron cream tangliatelletiramisu0tiramisupanacotta0panacotta",Pici,nan,290,10,www.openrice.com/en/hongkong/restaurant/central-pici/554180?tc=rvw2&con=rvw
