District,Cuisine,Reviews,Restaurant_Name,Rating,Cost,Wait_Time,Restuaruant_Link
Central,Japanese,"This grilled lunch set was really satisfying. started with refreshing salad and sashimi! Like!Foie Gras - Very juicy and well cooked! I will be back just for this  beautiful piece! Yum!!!...$ 1680Foie Gras - Very juicy and well cooked! I will be back just for this  beautiful piece! Yum!!!...$ 168Ice Cream  - Come with the lunch set, I prefer sober more after a big meal! Yet it is not bad...0Ice Cream  - Come with the lunch set, I prefer sober more after a big meal! Yet it is not bad...Scallops and Jumbo Shrimp on my sashimi rice! - Yummy and authenic! It made me feel like I was in Japan to have lunch :)...0Scallops and Jumbo Shrimp on my sashimi rice! - Yummy and authenic! It made me feel like I was in Japan to have lunch :)...0Sashimi Rice - The sea urchin is very fresh! Amazingly plated!...$ 3680Sashimi Rice - The sea urchin is very fresh! Amazingly plated!...$ 368Japanese Steamed Egg - Come with the Set Lunch , very smooth and with a sweet chestnut inside! Surprisingly Good!...0Japanese Steamed Egg - Come with the Set Lunch , very smooth and with a sweet chestnut inside! Surprisingly Good!...Special Fried Rice - This simple fried rice was really something special  to me. I was quite full but I finished all!...0Special Fried Rice - This simple fried rice was really something special  to me. I was quite full but I finished all!...Supplementary InformationBetter reserve table during lunch hour~",Sakura Japanese Cuisine,4.7,250,0,www.openrice.com/en/hongkong/restaurant/central-sakura-japanese-cuisine/566794?tc=rvw2&con=rvw
Central,Japanese,"A couple of years ago, I went on a solo shopping extravaganza in Tokyo. Exhausted, hungry and carry a ton of shopping bags, I came across a place called The Tomatoman in Ometsando. Tomato soup based tsukemen using organic tomatoes. I loved the richness of the soup. The springiness of the noodles.But apparently, the shop had closed and now has moved to Hong Kong. Located on Gough Street (where there are already two other very outstanding ramen shops), I decided to give this one a try.Though the logo is the same, the whole layout is different. Gone is the white,red and silver design. The Hong Kong branch is red with brown wood.0Menu is similar with the addition of cold noodles and sides. The one in Tokyo was much simpler. Menu is in English, Japanese and Chinese. You can choose how spicy you want your noodles and amount. Unlike most tsukemen places, this one doesn't offer a lighter dashi soup to dilute the soup for you to drink. Instead they suggest you add money for rice to mix it up. This was not offered in the original Tokyo location. But the soup isn't that concentrated so you can actually just drink it as is.0Boyfriend ordered the tsukemen with char siu ($118). He ordered a level 3 spicy and medium amount (250g) of noodles. The char siu lacked flavor. The egg also was a bit bland. The amount of spicy was just right for him but it covered the flavor of the tomato soup.0I had the one without char siu ($88) so I could get slice from him. I had the level 1 spicy (though I recall in Japan I could get baby spicy but this was not available here) and medium amount of noodles as well. The soup was a bit better without the amount of spiciness. It was a bit spicy but not too much. It just didn't cover up the taste of tomato. The only thing was the taste of the tomato also wasn't very rich. The noodles were ok though they were also warm and not cold like how it was in Tokyo. I assume it's to cater to the Hong Kong palate as most do like their dipping noodles warm and not cold. The egg was ok. Not much flavor but at least the yolk was runny.0It was ok but a bit average. Nothing really stood out. Flavor wasn't as intense as the original one in Tokyo. I know to never compare to Japan because they are just so much better over there, but this was far cry from the original. Doubt I'd be back. And a lot more expensive as well.",The Tomatoman,nan,115,0,www.openrice.com/en/hongkong/restaurant/central-the-tomatoman/646721?tc=rvw2&con=rvw
Central,Japanese,"Went out to have lunch with colleagues on a Happy Friday. Picked this restaurant as my colleagues wished to have Taiwanese food.0I chose this , as I missed the time I had unagi in Tokyo. To begin with, the whole piece of eel is grilled to an optimal juiciness and scent. You can smell a bit of charred taste, but the meat of the fish is still tender and moist. The sesame, seaweed on top also add some umami and crunchiness to the eel as well. The soft-boiled egg was a nice touch too, which adds some molten yolk to the rice. However, the rice is rather on the soft and mushy side0Sorry to say but the soup was mediocre, didn't expect much from it, but I suggest them to add more flavour to the soup. Will come back for the rice though.",,3.5,140,0,www.openrice.com/en/hongkong/restaurant/central-%E4%B8%80%E8%B5%B7%E9%A3%9F%E5%A0%82/603439?tc=rvw2&con=recRvw
Central,Japanese,"Tomato Soup Dipping Noodles with Boiled Pork Meat$ 1180Tomato Soup Dipping Noodles with Boiled Pork Meat$ 118The Tomatoman is a newbie on Gough Street, Central. It serves ramen and tsukemen in tomato broth. It seems that tomato broth is becoming a trend now.Tomato Soup Dipping Noodles with Boiled Pork Meat$ 1180Tomato Soup Dipping Noodles with Boiled Pork Meat$ 118I ordered this Tomato Soup Dipping Noodles with Boiled Pork Meat for lunch and was so satisfied. You could choose how much noodles you want, regular (250g), large (350g) or extra large (450g) for the same price. As for the broth, you could opt for little spicy, which is the least spicy option as the chef put some pepper in making the tomato broth, all the way up to fire spicy (this requires HKD$10 extra, and I wonder how spicy that is!).I got a regular (250g) tsukemen with little spicy broth. The noodles were prepared cold, and the waiter suggested dipping the noodles bit by bit in the broth, otherwise the broth would be cooled really quickly. The noodles were quite thick and chewy. The only thing that I didnt like about the noodles was that they were too coldeven after dipping them in the brothThe broth was very tasty! I particularly like the bits and pieces of okra and broccoli in it. Heavy tomato flavor, yet not artificial.There were 4 piece of pork! How generous is that! And they were really delicious meat indeed.",The Tomatoman,nan,118,0,www.openrice.com/en/hongkong/restaurant/central-the-tomatoman/646721?tc=rvw2&con=rvw
Central,Japanese,"I had lunch with my colleague at this restaurant for the first time.  Though I did mark my request for a table next to window side when making the reservation via openrice, the staff didnt offer us a window side table and I also noticed that the window side had been fully occupied at the time of our arrival.  We were seated at the chefs counter in the end.  When we were halfway through our meal, there was an incident where a waitress dropped the plates with food on the floor, which also unfortunately spilled some food on my shoes.  Besides cleaning up the mess in a quick manner, the other staff immediately offered us another table and provided me some napkins to clean off my shoes.  One thing that impressed me so much is a male staff who looked like the owner or manager of this restaurant shortly came over to apologize and give us our meal free.  I had never come across with such superb service at any restaurant in Hong Kong before, though similar incident did happen on me for not only once.  Although the food served here is a bit fusion, I can say its service is typical Japanese based on my experience this time. On food, I ordered the eel & egg don set with yuzu ramen, while my colleague had yuzu ramen.  The eel was tender & had no bones.  Yuzu ramen with chicken meatballs was in chicken-based broth with some yuzu scent, where the broth was rich & creamy but not fatty or oily.   Given the quality of service & food here, I must come over again to give other dishes a try!",NOJO,4.5,150,nan,www.openrice.com/en/hongkong/restaurant/central-nojo/610909?tc=rvw2&con=recRvw
Central,Japanese,"Came here Saturday 2pm.  Half the menu is crossed out and many items we want to order is not available.  I would have walked out but since we had an appointment in an hour, we didnt have time to find another restaurant.  We ordered what food was available on the menu.  We ordered the grilled pineapple-the waitress a said they were out. We wanted the Japanese sweet potato-that was also out too.   We ended up ordering a grilled salmon roll.  I asked the waitress not to put any mayo-ofcourse unsurprisingly-the rolls came with mayo.  Disappointed. This may be the worst Japanese Izakaya I have ever been too. For the quality of the food and service, it was definitely not worth $897HKD.   Too expensive, terrible menu, missing items, bad decor, bad service.  PLEASE AVOID THIS PLACE.",S2 Kitchen,1.5,897,nan,www.openrice.com/en/hongkong/restaurant/central-s2-kitchen/460408?tc=rvw2&con=rvw
Central,Japanese,"I go to this place very often, one of the best Japanese Izakaya in Central, small, casual, very authentic.I mostly come for lunch as I work nearby but also had a few dinners there.Food is very fresh, delicious, good varieties. Portion sizes are generous and enough for lunch sets. My favorite is Minced tuna don.I like it and will be going again and again.Supplementary InformationPlease check their daily special, it  changes  seasonally.",Kinjo's Izakaya,4.6,100,0,www.openrice.com/en/hongkong/restaurant/central-kinjos-izakaya/533328?tc=rvw2&con=rvw
Central,Japanese," Spicy Soup Ramen0 Spicy Soup RamenAs one who loves to indulge in spicy foods, I enjoyed having this  Spicy Soup Ramen. Sliced pork was tender without too much fat, noodles were done just right without being too soft.  Soup base was delicious, flavourful pork bone broth.  What I like is how ratio of soup is a lot more than the ramen noodles, this way, osmosis wont make the ramen noodles swell up, so so so importantGiven this said, its really impossible for these Japanese chain store ramen to taste bad, so I still give it 5 stars even though I wish it be more spicy, or come with more of the limited spicy sauce!",Ippudo HK,nan,100,0,www.openrice.com/en/hongkong/restaurant/central-ippudo-hk/96369?tc=rvw2&con=recRvw
Central,Japanese,"The restaurant is in Central, hidden in one of the small alleys. The chef was Japanese and he told us they only import the finest food ingredients from Japan. He and the staff were very kind and accommodating to our fish preferences. Each dish was very tasty and they paced it very well. One of my favourite dish was the unexpected Tamago-yaki. I thought it would be the same as those I've had outside but it was not. You wouldn't be able to tell it was tamago-yaki just by looking it either.The ambiance was also nice and quiet. Overall it was a good fine-dining experience.Kohada0KohadaSquid0SquidTamago (Egg)0Tamago (Egg)Japanese Horse Mackerel0Japanese Horse MackerelJapanese Tiger Prawn0Japanese Tiger Prawn",Sushi Nakamoto,4.8,700,nan,www.openrice.com/en/hongkong/restaurant/central-sushi-nakamoto/576545?tc=rvw2&con=rvw
Central,Japanese,"We were hungry and planned to go to one Jap restaurant in Central wellington street. But unfortunately, it was closed so we kept on walking and found this Jap restaurant in the middle on a Chinese wet market. We were carving for Sashimi so we decided to give it a go.Hida beef Don, ()We went to Nagoya before, the beef there is called Hida beef and has earned their reputation. Hida beef is known to be fat-rich. The beef hot and delicious. But that would be perfect is its not as ""well cooked"". The beef is soaked in Jap BBQ sauce which taste good of course. The combo has Japanese steamed egg which is very smooth and taste like silk. And some regular salad (sesame sauce dressing) & miso soup (a bit too salty)Nagoya beef don$ 1880Nagoya beef don$ 188Delux seafood sashimi DonSame as the last one, it also comes with salad, soup and steamed egg. The sahimi is quite good and fresh. The menu has quite a variety for you to choose from.Delux sashimi don $ 2380Delux sashimi don $ 238Overall the lunch was ok, the waitress was very attentive and very polite. But one would expected more from this price range.",Sushi Masa,3.7,250,0,www.openrice.com/en/hongkong/restaurant/central-sushi-masa/574789?tc=rvw2&con=rvw
