District,Cuisine,Reviews,Restaurant_Name,Rating,Cost,Wait_Time,Restuaruant_Link
Central,Thai,"Came here for lunch on a weekday. We had a party of 4 and no reservation, so we actually had to wait for quite a while, around 30 minutes.The view here is quite good, and Id probably characterize that as the main draw of this place. You could come at night, though idk if youd be able to see as much. I got the massaman curry, which I thought might be spicy... but actually wasnt spicy at all. Anyways, the food was fine, but at 208 hkd, the portion was really small. What youre really paying for is the setting and the view, tbh. Anyway, some of my friends dishes were more substantial, and cheaper (such as the pho or the fried rice), so consider those when dining here.FYI there is a service charge.Lunch0Lunch",MARKET SEA,3.3,200,30,www.openrice.com/en/hongkong/restaurant/central-market-sea/558025?tc=rvw2&con=rvw
Central,Thai,"0There were diverse reviews on Aaharn, which made me unsure whether to try it out or not. But with Restaurant Week deal, its hard to say no! So here I am with my friend.0Located inside Tai Kwun, Aaharn has a secret touch of Chinese culture, and you have to be mindful to notice it.0To begin with, we were served with a refreshing snack. Pineapple with caramelized seeds on top. The caramelized stuffing topped up the flavor of the pineapple by giving extra sweetness to it, and at the same time, making the pineapple more refreshing!Pomelo, Prawns, Toasted Coconut and Lime on Betel Leaves...0Pomelo, Prawns, Toasted Coconut and Lime on Betel Leaves...We chose this Pomelo, Prawns, Toasted Coconut and Lime on Betel Leaves as starter course. It was definitely wonderful! The prawns were meaty. The pomelo, toasted coconut and lime made a great salad with the seafood. Yet, beware of the green pepper, I chewed some seeds and they immediately made my tongue on fire!Crispy Perch with Tamarind and Chilli0Crispy Perch with Tamarind and ChilliMain course was this Crispy Perch with Tamarind and Chilli. It was kinda like Chinese style sweet and sour fish. The fish was fried before marinated with thesweet and sour sauce. It went really well with the coconut rice! What I like most was the fried herbal leaves (Perilla leaves)! Fish was fresh, but the sauce kinda masked its real taste.Longan Soup and Coconut Dumpling0Longan Soup and Coconut DumplingDessert was a delightful Longan Soup and Coconut Dumpling. The sweet, refreshing soup with ice made a great dessert with the fruit. And the coconut dumpling was absolutely fantastic! The coconut shreds wrapped around a mochi like dumpling with peanut stuffing. Definitely out of our expectation!I would recommend you to try out Aaharn to do it justice.",Aaharn,nan,220,0,www.openrice.com/en/hongkong/restaurant/central-aaharn/599601?tc=rvw2&con=rvw
Central,Thai,The seating is comfortable. Staff is nice.Lunch set menu has quite a number of options to choose.I like the fact that food is nicely made with good portions.~Lovely soup 0Lovely soup big Ice lemon tea and hot milk tea - 0big Ice lemon tea and hot milk tea - 0,Good Luck Thai Food Restaurant,nan,100,0,www.openrice.com/en/hongkong/restaurant/central-good-luck-thai-food-restaurant/599538?tc=rvw2&con=recRvw
Central,Thai,"It's always crowded during lunch hour in Central, too many people working in here, yet too little (affordable) place for lunch. I was so excited that Thai Chui has finally open a branch in Central. I used to go to their Sham Shui Po branch quite a lot, and I miss the food in there. To be honest, the store is quite far from my office, but it still worth the walk to catch some quick lunch.They occupied 2 floors in Central, so although it's crowded, but it's not as hard to get a seat. I usually get the Hainanese chicken rice lunch set. When I feel healthy, I would add $12 for a small dish of vegetables.Hainanese chicken rice0Hainanese chicken riceTo be honest, the space is quite packed and noisy. It's hard to chat with friends over lunch, but it is still a good place for a quick lunch to catch up with good food.Pro tips: heat up the chicken with the soup to make it warmer and tastier.",Thai Chiu,3.6,80,5,www.openrice.com/en/hongkong/restaurant/central-thai-chiu/575990?tc=rvw2&con=rvw
Central,Thai,"I read about this Thai/Vietnamese restaurant at Soho on the Chope booking site, decided to give it a try for lunch with my best friend. It is quite a nice idea that it supports online booking via various booking site like OpenRice itself and the Chope booking site. Not only that I do not have to call the restaurant myself, but I could earn points for both site to redeem other awards.It was a sunny sweaty day in Hong Kong, it might not be the best idea to hike up to Soho for lunch. Luckily the air-conditioner of the restaurant is strong enough, together with the iced water being served, I managed to cool down quickly. As for the lunch menu, it is quite economical with a variety of different food. I picked the fried fish with egg noodles with salad as appetiser. A 2-course lunch cost less than $100, not a bad deal!Crispy Egg Noodle with Deep Fried Fish Fillet$ 880Crispy Egg Noodle with Deep Fried Fish Fillet$ 88The fried fish was above average, and the egg noodle was interesting, but the sauce was very weak. It doesn't really feels like Thai food, as Thai food are usually associated with heavier taste.All in all, it was a nice spot for lunch, but I guess I won't travel all the way to Soho just to try this restaurant. It's a good spot if you're nearby and wanted a decent place for group or solo lunch.",Soho Spice,3.5,97,0,www.openrice.com/en/hongkong/restaurant/central-soho-spice/12655?tc=rvw2&con=rvw
Central,Thai,"This was one of the worst restaurant experiences I have ever had. My brother and I waited almost half an hour to even order - and once we did one thing we wanted wasnt available so we had to wait another 15 minutes to finish our order. Awful service, and the waiter showed absolutely no pleasure in serving us. Once our food came, it was inedible, we ordered a grilled ham and cheese and the bread was overly thick, the cheese was rubbery and fake (like American cheese), and developed a skin overtime - so it was most definitely processed and made with a lot of additives. The ham was rubbery as well. The fries that came with the dish were mediocre at best and were a huge let down from the picture. We also ordered spring rolls and they were the fresh ones instead of the fried we had wanted. We sent them back and were left Hungry. Very disappointing and will never return here. Overpriced and deplorable service.",Greyhound Caf,1.5,88,2,www.openrice.com/en/hongkong/restaurant/central-greyhound-cafe/67347?tc=rvw2&con=rvw
Central,Thai,"This time it was my friend who suggested coming to this place for lunch. I had given up rice noodles given the previously rather random quality and decided to try their  at a price of $78+10%.$ 860$ 86Surprisingly it was quite tasty. The rice was sticky rice mixed with some red rice. There were just 4 pieces of chicken and the chicken was not so tender and was a bit rough despite some of them being chicken thighs. There were quite a lot of vegetables which was really appreciated. Interestingly, there were loads of potato wedges but they were not freshly deep fried. Fortunately, they went well with the red curry sauce. The sauce was plentiful to finish the whole plate of food and was slightly spicy. It was quite tasty and special indeed with the hard-to-find-elsewhere sticky rice and delicious red curry sauce. At a price of $78+10% including a hot drink for lunch at such a Central location, it was not a bad choice.",Sisombath Restaurant,nan,86,0,www.openrice.com/en/hongkong/restaurant/central-sisombath-restaurant/549806?tc=rvw2&con=recRvw
Central,Thai,"I had been here about 2.5 months ago. It was my second visit and it was so full during lunch hour on Friday! Luckily I had reserved a table the previous night.100%$ 750100%$ 75I ordered the Laos Chicken Soup which was  again, as it was quite good the last time I came. The soup smelt and tasted quite good of coconut, like last time. It was so delicious that I finished most of the soup, Last time I was really thirsty after eating but I was less thirsty this time. Maybe they had reduced their MSG?The chicken, which was mostly chicken leg, was again not so tender but unlike last time there was skin! It was not a big problem because I could easily remove the skin. However, the  really sucked. They seemed overcooked and was just pat. It was such a total failure that I had to rate it 1 overall.Soya Bean Milk0Soya Bean MilkA hot drink was included for free and I chose Healthy Soya Bean Milk (No Sugar) again. Nothing special to talk about.It was so full and service was very sluggish during our visit. My friend ordered a vegetarian rice and it arrived after I had almost finished my whole bowl of noodles, even though I was eating very slowly.With the rice noodles served like pat, I would never come back again despite the convenient location and not-so-expensive lunch prices.",Sisombath Restaurant,1.6,75,3,www.openrice.com/en/hongkong/restaurant/central-sisombath-restaurant/549806?tc=rvw2&con=rvw
Central,Thai,"Customer service was terrible as all the staff have attitude when you tell them their utensils are dirty, not just unpolished but dry food stuck in between my fork.The guy beside us had fly inside his water and asked for another one. One of the staff showed her unwillingness to get a new glass for him when she was told about it. Took them so long to get one of our orders on our table. We ordered before the table beside us and they were served the same dish before us. Messy ordering system they had.Ordered the fresh prawn pad thai and it was tasteless yet the only spices it had was the spicy flakes. My friend ordered the pasta with shrimp, it was rather very spicy with no other taste at all and sauce was very watery.When we asked for the bill and gave our credit card, it took them 30 mins to realize that they didnt inform us their card machine was having problems which he could have told us earlier and we would have settled it by cash.Overall it was a horrible experience in everything. This was my second time and last time visiting greyhound and my first experience wasnt that great either to start off with.",Greyhound Caf,nan,250,nan,www.openrice.com/en/hongkong/restaurant/central-greyhound-cafe/67347?tc=rvw2&con=rvw
Central,Thai,"I had reserved a table for 6 via openrice 2 days ago. I was surprised to see that they hadn't set up a table for us and only started doing it when we arrived. It was not full during lunch hour on a week day, maybe due to the relatively far location?Lunch Menu0Lunch MenuI ordered a Bangkok Fix at a cost of $118 +10% (with some top-ups for certain dishes) including a starter + mains + dessert + drink which seemed to be quite a good deal in Central.Ginger Tea0Ginger TeaMy hot ginger tea was the first to arrive after ordering. It wasn't sweet at all and the flavour of ginger was not strong enough. It was quite plain.Thai style lettuce wrap with pork0Thai style lettuce wrap with porkThe portion was quite big. The lettuces were fresh and there were quite a lot of minced pork. The minced pork was ok with quite a lot of lime juices. It was just a little bit too spicy.Pad thai stir-fried rice noodles with dried shrimp, tofu, bean sprouts & crushed peanuts with grilled tiger prawns...0Pad thai stir-fried rice noodles with dried shrimp, tofu, bean sprouts & crushed peanuts with grilled tiger prawns...I picked Pad thai with grilled tiger prawns. There were only 2 tiger prawns but they were grilled quite well. You could tell that they were fresh. The pad thai itself was quite good too as the level of sweetness was just about right with the texture of the rice noodles being so thin and smooth! However, I couldn't really find dried shrimps in the noodles.Daily homemade dessert 0Daily homemade dessert The daily homemade dessert was . As a complimentary item to the lunch set, there was really no complaint as it wasn't overly sweet and there was sufficient amount of coconut milk to make it smell so good.Overall, I would say that the quality of the food was quite good, especially given the relatively reasonable price in this district. However, there was certainly room for improvement in their service as they had missed the orders of the mains of my friends and they had to wait so long for their food. Hope they could improve their service for my next visit.",Ayuthaiya,3.3,132,0,www.openrice.com/en/hongkong/restaurant/central-ayuthaiya/43233?tc=rvw2&con=recRvw
