Restaurant_ID,Restaurant_Name,District,Cuisine,Rating_Average,Cost_Average,Wait_Average,Reviews,Restaurant_Link
0, CHIRASHI,Wan Chai,Japanese,3.7,488.0,0.0,"0Chirashi is a popular Japanese don restaurant located on Wan Chai Road between Wan Chai and Causeway Bay. The restaurant is cozy restsaurant serving big bowls of sashimi don and some other Japanese food at the reasonable price.0000The restaurant is well stocked with a wide range of Japanese rice wine as well as a display of sashimi. Besides, they only use Japanese rice which would be a lot stickier than Chinese/Thai rice.00We have ordered a  which is to share among 2 ppl for $488. The don has two layers with the bottom layer filled with Japanese rice with crab roes and the top layer covered with different types of sashimi, including uni tofu, tamago roll, salmon roe, salmon, octopus, Matsuba crab and more!0We were recommended to have the uni tofu first, then the tamago.0Moving on to the array of sashimi, and you can enjoy the sashimi along with the crab legs. Among them, I liked the crab the most because of its strong seawater flavour and the sea water literally comes out once you bite into it.0Afterward, you may move on to the body of the crab because it has a stronger taste when comparing to the legs of the crab.00Some ginger sauce is also provided on the side for you to dip the fresh crab meat in. The taste of the crab changed and the sweetness intensify afterward. A great alternative to enjoy this delicate crab meat.00000The rice underneath is generous enough to share among two ppl, it looked big but it's actually a very thin layer. The rice has been mixed with some shrimp roe with a big dollop of crab roe in the middle. The crab roe tasted very strong with a savoury taste. Therefore, it's best to enjoy with some rice. 00Some crab meat is also mixed in with the rice, therefore I also liked to take the meat out from the crab and mix that into the rice for more flavour!000The body of the crab has a strong flavour as I have mentioned before. The sea water taste is very strong and the meat is still very juicy with firmed.0You can also ask for a pot of crab soup to make a soup rice after some time. The crab soup is hot with a flavourful sweetness and natural seafood taste. A great way to lighten up the taste from the crab roe.To me personally, I really enjoyed to have the rice with the soup because it heated up the rice and it is very hearty when it is enjoyed with some liquid.000Overall, for $488, I think it is quite expected ass it is very big in size and the presentation was just amazing. For $244 each person, it's not bad to have this amount of sashimi as well as Matsuba crab all in one sitting! I would come back again if I want to have some fun time with friends de-shelling the crab as well as enjoying a delicious meal!0""",www.openrice.com/en/hongkong/restaurant/wan-chai-%E5%BC%98-chirashi/470956?tc=rvw2&con=rvw
1, X ,Causeway Bay,Chinese,3.6,60.0,0.0,"There are a number of Ki's Roast Goose restaurants in the Causeway Bay vicinity but this place called  (Ki's Roast Goose x Gwing Kee Noodles) is a combined restaurant with the popular Tsuen Wan Gwing Kee noodle shop. A noodle shop known for making excellent lo mein, a dry noodle mixed with soy sauce and goose fat. I guess it makes sense to just use the goose drippings from Ki's Roast Goose. So, the two became one!The menu is in English and Chinese. There is no 10% service charge. You can choose just the roast meats with rice or with Gwing Kee's thick noodles. Which is what I did. Ordered a roast goose and char siu combo for $58. It comes with a hot drink.The noodles were ok. Chewy consistency and you can definitely taste the fat.0The roast meat was fantastic. The goose was tender, the skin not too fat. The char siu was a great consistency of fat to meat content. It also wasn't overly sweet.0Overall, the meat was pretty good. Noodles were ok though I needed a bit more sauce as it started to get a bit too dry.""",www.openrice.com/en/hongkong/restaurant/causeway-bay-%E6%A3%8B%E5%93%A5%E7%87%92%E9%B5%9D-x-%E7%82%AF%E8%A8%98%E9%A4%90%E5%AE%A4/588528?tc=rvw2&con=rvw
2,10 Shanghai,Causeway Bay,Chinese,3.2,120.0,,"1957 & Company (company behind Paper Moon and Mango Tree) continued flexing their muscles in Causeway Bay this month. Having already launched Gonpachi and An Nam at Lee Garden, the hospitality group recently added a third restaurant to the mix with 10 Shanghai ().010 Shanghai is a stylish Shanghainese restaurant serving delicate Huaiyang cuisine with a modern twist.0The first thing I noticed about this place, without even touching the food menu, was the noise level in the dining hall. The tables were a little too close to one other and it was almost like sitting besides a bunch of high-performance speakers and subwoofers. I can really feel the sound waves bouncing off my body left and right.0But I have to admit, I like their food menu and there're a number of reasons behind. For one, it has pretty good coverage including snacks (3 pages on this section alone), seafood, soup, meat and poultry, vegetables, dim sum, rice and noodle, and dessert. Prices are pretty reasonable considering it's located in a prime location in Causeway Bay and last but not least, the contemporary twist on some of the classical dishes, it's a breath of fresh air.0Crispy bean curd roll with black truffle () ($98) - I have always been a big fan of crispy bean curd rolls, or vegetarian goose as it's often called. These were pretty nice and good work by the black truffle sauce to make them even more tasty (Grade: 7/10).Crispy bean curd roll with black truffle ()...$ 980Crispy bean curd roll with black truffle ()...$ 98Pan-fried Xiao Long Bao () ($60) - I have had a lot of xiao long baos (Shanghainese pork dumplings) in my life but it was my very first thing having them on a frying pan.Pan-fried Xiao Long Bao ()$ 600Pan-fried Xiao Long Bao ()$ 60The wrappers were surprisingly thin (you won't be able to tell from the photos at all!) but the broth seemed to have evaporated from the heated pan. Just a little weird having xiao long bao without the delicious broth (Grade: 4/10).1Sizzling steam-fried Shanghai pork buns () ($64) - Much much better than the xiao long bao.Sizzling steam-fried Shanghai pork buns ()$ 640Sizzling steam-fried Shanghai pork buns ()$ 64There's still a fair amount of broth inside the buns (which were delicious and pillowy) and the minced pork was so juicy. Pretty nice (Grade: 7.5/10).0Golden glutinous rice cake () ($56) - Everyone was pushing for this dish so despite not being a fan of glutinous rice (unless it's a dessert), I decided not to put up a fight.Golden glutinous rice cake ()$ 560Golden glutinous rice cake ()$ 56I like the presentation here but I was expecting something totally different, something that looks a little more like the traditional Shanghainese sticky rice rolls (those ones that go with soy milk) but with a crispy crust. But this turns out to be more like a woba (or rice crispies/) (Grade: 5/10).0Shanghainese style stir-fried noodle () ($108) - Pretty tasty and not as greasy as the ones from most traditional Shanghainese restaurants (Grade: 7/10).Shanghainese style stir-fried noodle ()$ 1080Shanghainese style stir-fried noodle ()$ 108Stewed noodle with chicken () ($58) - This one was ordered for my little one.Stewed noodle with chicken ()$ 580Stewed noodle with chicken ()$ 58I can tell the noodles were a little too soft (and soaky) but my little nugget had no complaints (Grade: 4.5/10).0There were some hit-and-misses here and there but I thought the dim sums and snacks were quite nice. They've got to do something with the noise level though. It's supposed to be an upscale restaurant but it felt more like a cha chaan teng as we had to literally yell at each other to get our conversation going.""",www.openrice.com/en/hongkong/restaurant/causeway-bay-10-shanghai/559312?tc=rvw2&con=rvw
3,1935 Restaurant,Central,Chinese,4.8,270.0,,"The food is delicious!!! We were a group of 7, and we ordered everything on the set lunch menu. I dont think there is anything that I dislike! If I have to choose my favorites, Ill pick Dan Dan Noodle, Spicy chili oil chicken with peanuts, Chili oil fish, Stir fry leek & beef ! So glad that I found this newbie in Central area. Already reserve a table for next time! 0000000000'",www.openrice.com/en/hongkong/restaurant/central-1935-restaurant/554623?tc=rvw2&con=recRvw
4,1963 ,Wan Chai,Chinese,3.6,113.3,2.0,"00This shop in Wanchai is located on the 2nd floor of an old building, its main entrance is located at Wanchai Road with unique decoration of the exterior of the building. While this gives a wrong impressison to diners that the restaurant occupies the whole building, it creates a sense of uniqueness to visitors coming from the Wanchai Road entrance. Your visit starts like entering a time machine, which brings you from 2016 back to the year of 1963.00000When you entered the restaurant, it is fully decorated by vintage furniture and creates a relaxing feeling of reminiscing the past. Old clocks which the date and time was halt at one specific moment in the past, old word infuser which was widely used before the invention of automatic printing machines.00The decoration of this shop is definitely the attraction of this restaurant, instead of solely providing Taiwanese food, the atmosphere offers diners a transient visit to the old times in Taiwan, with authentic vintage styles telephones and simple decorations. On one hand, this could promote the idea of recycling, as diners could have a chance to rethink the use of something which is considered outdated. On the other hand, reviving the old furniture (and even window frames) and decorations could help diners immerse into homely feeling of going back to the past, which is the theme of the restaurant. The walls are all painted with vintage style colours.000The restaurant occupies the whole 2nd floor of the building, which is very big, however, it is always crowded with diners, especially during lunch hours on both weekdays and weekends. Booking can be done via telephone, but it would be more secure if you book 1 or 2 weeks in advance for lunch hours in this restaurant.The menu of this restaurant is very simple, which is consistent with the decoration and the atmosphere as a whole.The lunch sets are around HK$70  HK$90, and diners can choose to order drinks by adding HK$15 or above. The drinks are mostly Taiwanese drinks handmade in the drinks bar.0I have been to this shop twice and ordered the following food:- (HK$70) (Taiwanese Style Chicken Rice)$ 700$ 700The taste of the chicken is very strong in wine smell, the presentation of the lunch set looks like those Korean sets, with small dishes at side and small bowl of rice. On top of the chicken, there are spices to add colours and taste to the dish.00Some dried sakura shrimps are placed on top of the rice together with some sliced chicken, the taste of the rice is very unique. The variety of side dishes provides sensational excitement for diners. The sour tomatoes can initiate diners appetite. (HK$70) (Old Fashioned Sauce Pork Chop Rice)00The pork chop bone is placed on the dish to show the whole piece of pork chop. The taste of the pork chop is not those delicate type, but with very strong dipped sauce inside the meat texture. Taiwanese style minced pork is placed on top of rice. (HK$68) (Crispy Chicken Leg Rice)0The chicken skin is very crispy and there is no additional flour placed outside the skin of the chicken. My friend has also ordered a rose coffee together with the set and she said that the coffee is surprisingly good. There are also biscuits coming along with the coffee.Rose Latte0Rose LatteThe chopsticks in this restaurant are very special too, this restaurant provides a relaxing and humorous atmosphere for diners to enjoy Taiwanese food.0Interesting Chopsticks0Interesting ChopsticksMy 2 visits are evidenced by the reciepts below:00The lunch menus are attached for reference:-0100Supplementary InformationPlease make your booking early in advance!', '0Entering this place was like going back to the year 1963 with a layer of fancy vintage interior and a touch of Taiwanese aura over the place1# $68 (8/10)First of all, the portion of the chicken steak was huge Although the texture of the chicken meat was soft, it was overrided by hardness of the chicken skin which was overly thick and crispy and made it hard to chew on The spicy and tangy flavoured sauce drizzled on top of the chicken was not too preferred for my liking because I like my meat savoury but the good part taiwanese rice which was the perfect mix of fatty pork meat and rice in the meal#($70)The pork meat portion again was huge but the flavour was a bit salty though the fatty pork rice was once again not disappointing to my palate 0#+$23 (8/10)Whilst eating Taiwan food, you can also enjoy their coffee and relax in the comfort of the cozy environment the rose latte was presented beautifully with cute biscuits that come at the side the latte was smooth and creamy with a strong coffee aftertaste and a hint of rose aroma000000001', ""I saw these colorful social media photos of this restaurant and I had this absolute need to come find it. Dragging boyfriend, it was oddly easy yet not easy to find. Situated in a building in Wanchai that I walk by very often, I didn't notice there was ever a door in. You go up the a few flights of stairs, leaving you huffing and puffing where you will find a door.We did later discover they do have an elevator. We took it on the way down and found that they do suggest you walk up the stairs. But if you do use the elevator, you are to call their phone number for them to open the door.0Entering the restaurant, you'll find that you've stepped into the 1960s. The whole restaurant has all sorts artificats that you would find from the past. They even play music that you'd probably find in a Wong Kar Wai movie. It had that whole In The Mood for Love feel.0Menu is in Chinese only. There are no photos. So, I guess if you really want to eat here and you can't read English, Google translate is your friend. What they serve is various Taiwanese type dishes. It kind of reminded me of the Kwun Tong restaurant, Skoool and I wonder if they are the same group?All staff speak Mandarin. I guess to keep with the feeling that you are in Tawain.We were here for lunch so they only had lunch sets available.Pork Chop with Minced Beef Rice ($65).Boyfriend chose this as his lunch set. The pork chop was a bit dry and a bit too salty. The minced beef was actually quite good. Not too salty and not too oily.0Braised Beef Brisket and Tendon Noodles ($65).This was my set. I loved how they used such beautiful plates. The beef was tender and just fell apart easily. The noodles were still al dente. Though the soup base wasn't very strong on flavor, I still thought it was ok.0Each set came with an appetizer of salted mini fish, sour plum marinaded cherry tomatoes and spinach. I thought it was a nice little appetizer just to wet the palate.0Ice Wintermelon Tea ($15).Boyfriend chose this as his drink. There is no actual set drink but you can add money for drinks that include anything from coffee to juice. This is ice wintermelon tea and boyfriend loved it. He said it tasted exactly like how they have it in Taiwan. It was not only sweet but there was a hint of smokiness. He claimed that he couldn't get this exact taste in Hong Kong.0Red and White Dragon Fruit Juice ($22).I chose this. It was basically the dragon fruit juice but they used both red and white to make it look pretty. But basically dragon fruit juice. It felt super healthy but nothing amazing about it. It was just juice so I don't think it was worth $22.0A beautiful environment where the food looked beautiful as well. I felt serrving size was ok but for boyfriend, it wasn't enough. Prices were also a bit steep for an upstairs cafe but I guess rent also costs more in Wanchai. I would return again.""",www.openrice.com/en/hongkong/restaurant/wan-chai-1963-%E6%9C%A8%E5%8D%81%E8%B1%86%E5%AF%B8/487324?tc=rvw2&con=recRvw
5,2/3 Dolci,Causeway Bay,Italian,3.5,200.0,,"Dolci (n.) - Sweet 2/3 Dolci - 2/3 Sweet & 1/3 SavoryWoke up at 2pm and there we went to a place where we can earn the birthday bonus miles (Spend $300 or more on dining/ retail partners of Asia Miles will earn 400 bonus miles) !! 2/3 Dolci serves tea set all-day, with 6 artisan pastries, 3 options (6pcs) savories, 2 scoops gelato and 2 drinks. ($368) If you have a sweet tooth and sweet crave, this will be definitely for you. For friends who prefer salad and pasta, they do have alternative sets at $78 or $88 and comes along with Coffee or tea. Highlights: Place for chilling and chit chatting if you don't mind it's under open space, still it's comfy. The best savory goes to crayfish puff and the sweet is its signature guava sponge cake! Gelato isnt too thick and a bit runny, yet it's 2 huge scoops. My partner picks earl grey tea and I opt for its signature chocolate plus pistachio. Both pistachio gelato nor chocolate weren't standing out. Anyhow, should have picked black coffee or black tea, otherwise too much sweet for the set. Totally loaded - feel like having all you can eat! #hsurprisefoodie #hsurpriseicecream #hsurprisedessert #hsurprisecwb #hsurprisecake #hsurpriseasiamiles""",www.openrice.com/en/hongkong/restaurant/causeway-bay-2-3-dolci/166658?tc=rvw2&con=rvw
6,298 Nikuya Room,Central,Japanese,4.6,315.0,0.0,"Suddenly craved Yakiniku and saw that comments on this place were generally good, especially for lunch. Then I recalledthat a friend of mine had recommended this place before so I decided to give it a try. However, I was asked to pick a time slot of either 12-1pm or 1-2pm when I called to make a reservation, which made it quite rushy especially when the food arrived quite late and we did order some extra items on top of the set.00There were quite some people when I arrived shortly after 12p.m. and I was seated at the bar table.Each of us ordered a 298 Wagyu BBQ Set which included 3 pieces of thick cut Wagyu and 4 types of sliced Wagyu (2 slices each type). We also ordered some extra Ox Tongue. Some of the waiters didn't know much when we asked them what were included in the set but one was more knowledgeable and was happy to tell us the order and way of eating the different types of Wagyu.I think it took at least 15 min for our food to arrive after ordering, even the appetizers and side dishes, which was why I was a bit shocked when they asked us to check out at 1p.m. because we didn't mean to be late!298 Wagyu BBQ Set: Appetizers & side dishes$ 3280298 Wagyu BBQ Set: Appetizers & side dishes$ 328Here you go the appetisers and side dishes for our 298 Wagyu BBQ set. A drink was also included in our set. We ordered Coke Zero and Cream Soda respectively. You could also choose Ginger beer, Ginger Ale, Oolong Tea, Green Tea or coffee. So the set included salad,Kimchi, spicy beef with tofu, ox tongue, miso soup and rice. The rice was a bit disappointing becauseit was just very average rice. Not even local rice of better quality. But you could ask for more for free.298 Wagyu BBQ Set$ 3280298 Wagyu BBQ Set$ 328The Wagyu for our 298 set which included three pieces of thick cut Wagyu and 4 types of sliced Wagyu each with two pieces. Will talk about them each by each below.Ox Tongues$ 1100Ox Tongues$ 110The extra ox tongues we ordered along with the set.Ox Tongues0Ox Tongues298 Wagyu BBQ Set & Ox Tongues0298 Wagyu BBQ Set & Ox TonguesThe knowledgeable waiter said we should eat ox tongues first because they were seasoned and less fat. He also told us that they needed to be fully cooked. He also recommended that we could add some lemon juice to them after being cooked. Really need to add lemon juice after eating quite a few because they got quite salty as you ate more.Ox Tongues0Ox TonguesThe ox tongues, even fully cooked, were very tender. Great texture!Thick Cut Ox Tongues0Thick Cut Ox TonguesThen we started cooking the thick cut ox tongues and the vegetables in our 298 Wagyu BBQ set.Thick Cut Ox Tongue0Thick Cut Ox TongueThe thick cut ox tongue, even fully cooked, was so so tender still! I really liked the  yet tender texture!Thick Cut Wagyu & Ox Tongues0Thick Cut Wagyu & Ox TonguesThen we started cooking the other two pieces of thick cut Wagyu while cooking the last round of extra ox tongues. One thick cut was meat near the pat pat while another seemed to be chuck roll . So bad we forgot which was which.Thick Cut Wagyu0Thick Cut WagyuThick Cut Wagyu0Thick Cut WagyuAlthough we couldn't really distinguish these 2 pieces of thick cut Wagyu by tastes, both of them were really surprisingly tender. Normally I don't like thick cut beef but these thick cut Wagyu really pleased me!Harami 0Harami Again we followed the recommended order of the knowledgeable waiter and cooked Harami . See how the fat was so evenly distributed!Harami 0Harami Although I had already been surprised by the really delicious thick cut Wagyu, these Harami  continued to please my tongue. The tenderness of the meat was even better given the thin slices and evenly distributed fat.Upper Leg Wagyu0Upper Leg WagyuUpper Leg Wagyu0Upper Leg WagyuThen we continued with the really thin sliced upper leg Wagyu. Normally such thin slices were usually eaten at shabu-shabu? Again they tasted great with Yakiniku too!Prime Kalbi 0Prime Kalbi Prime Kalbi 0Prime Kalbi We continued with thePrime Kalbi , which looked way more fatty. I think the level of tenderness had gotten more or less the same as the previous Wagyu but this one offered a really rich taste of beef! Yummy!Sliced Sirloin 0Sliced Sirloin Sliced Sirloin 0Sliced Sirloin Finally we ended our meal with theseSliced Sirloin. You can tell these were really the fattest among all other Wagyu. Really need to eat a lot of rice as you ate so much fatty meat.Overall, the Wagyu were really of pretty high quality, especially given the price and the central location. A lunch visit is highly recommended. Just don't expect you can have a lot of time to enjoy the food."", ""A colleague recommended this place for its weekday lunch set, saying it's really a bargain especially when compared to its expensive prices for dinner. It is really unusual for us to have Japanese BBQ (or any kind of BBQ) for lunch on a weekday. No matter how much I liked Jap BBQ, I could not imagine bearing with that smell afterwards.We ordered a Wagyu beef set, a shabu set and a seasonal beef selection set for sharing.000The sets range from $150 to $250, with salad, soup and rice included.You can actually tell from the photos what kind of quality the beef is of. The sets definitely have (very) acceptable prices in Central (you'll understand if you work nearby) given its quality. You will be amazed how nice the texture is. The beef is such high quality that you probably cannot criticise for its high price for dinner.I was glad that my colleague recommended this place. It's definitely a nice short getaway for the sore from work. But make sure you do not have a client meeting in the afternoon or else you will still get yourself embarrassed (again,no matter how nice its beef is, the smell is inevitable...)""",www.openrice.com/en/hongkong/restaurant/central-298-nikuya-room/180200?tc=rvw2&con=rvw
7,3.6.9. Restaurant Shanghai Food,Wan Chai,Chinese,3.1,55.0,0.0,"As boyfriend and I were in the Wanchai area for the annual Ani-Com, we stopped here for lunch. We had never tried this place before but always wanted to. So, we chose this day to try it out.3.6.9. is a restaurant serving Shanghai dishes. It's not a fancy place. But they seemed to have a very extensive menu with dishes rarely seen in most restaurants serving Shanghai cuisine. Menu is only in Chinese. There is no English.Deep Fried Pork with Noodles. Pork chop was not greasy and was still moist despite being fried. Coating wasn't too thick.0It came with a bowl of noodles. Soup was ok. Not very rich but at least not over powering with MSG. It tasted a bit like the soup that comes with wonton.0Noodles were chewy and thin. I quite liked it enough as it wasn't overly floury in texture.0Xiao Long Bao. Although not neat placed with served, these were ok. Skin wasn't thin but more of the traditional style where the skin is thicker. Filling was moist but not bursting with juicy soup. I fount it interesting they served it on a thin piece of lettuce like how it was served in the old days before steaming it in paper like it is now.0Stir Fried Shanghai Noodles. These were pretty good. Not overly oily or overly floury as Shanghai noodles sometimes tend to be. Wasn't too salty but packed with flavor.0We totalled at $120 for the whole meal. The food was ok but not great. Very old school Shanghai than the new style that is served now a days. My dad would approve. Definitely an interesting place to eat. I would return."", ""It looks like I have Shanghainese food at least once a week.Today, I tried 369 with my cousin and her friend.Environment & Hygiene:Since it was lunch time, it was quite busy. Lots of office people having lunch. It looked like it could use a renovation inside because everything looked quite old, but I guess that was its style. Hygiene was okay for old places like this.0Taste & Value:The 3 of us ordered 4 dishes to share. What we got:1. Wonton- There were quite a few in one order. Although I found the wonton wrap a bit thick, the filling was fresh and tasty, so it was good.Wonton0Wonton2. Pork Chop with Veggie Rice- When the waiter first put down the meat, I wasn't too impressed because of its look. It looked as if it had been sitting, but I was WRONG.It was hot and absolutely delicious! It has been a long while since I've had such good tasting pork. The seasoning was perfect. The veggie rice too was very flavourful. Usually the rice is packed with MSG, so I get very thirsty afterwards, but I was okay after eating it.Pork Chop with Veggie Rice0Pork Chop with Veggie Rice3. Veggie with Shredded Pork- This came with 2 bowls of white rice and soup. This sounds stupid, but the flavours tasted very Shanghainese. Ha. It was good, just a bit greasy.004. Xiao Long Bao (5)- We ordered 5, but 10 came, which explains the big steamer it was served in. The first staff refused to admit that the order was wrong, but then another came over and kindly took the extra 5 away. These babies were juicy. The taste was not bad, but the flavour of ginger was quite strong. 0Service:The service was a mix of good and bad. Some were nice and some just didn't care. Oh well.Final Verdict:The pricing is very reaonable and the taste is good. I noticed that a lot of people ordered the Shanghainese fried noodles, so I want to try that next time.""",www.openrice.com/en/hongkong/restaurant/wan-chai-3-6-9-restaurant-shanghai-food/10428?tc=rvw2&con=rvw
8,33. Kyoto,Wan Chai,Japanese,3.8,58.5,0.0,"With so many burger places in Hong Kong, 33.Kyoto that does something different. They have created a different sort of rice burger. Mentioned in many local publications, I was interested. As it was pretty close to where I live, I came here for lunch with boyfriend.Located in Wanchai in an area with a number of inexpensive restaurants.Menu is in English, Japanese and Chinese. They offer an upgrade to a set which includes a salad (either potato or sesame crab salad) and miso soup. Upgrade to a soft drink for $5 or special drink for $15. They also offer sides. The burgers are basically a rice patty wrapped in nori with different types of filling. You pay and order at the cashier before sitting own and they will bring the food to you. There is no 10% service charge.0As it's still newly opened, they are offering some burgers with a drink for $33. Or the signature lobster burger for 33% off.0As there was a discount, I ordered the lobster and upgraded to a set and a soft drink ($128 +$5 for the drink but with discount came out to $90). The rice patties are grilled so they are a bit chewy. There is a lobster tail that is not overcooked and so very moist yet firm. It's topped with a slice of grilled processed cheese but it oddly wasn't gooey. Just slightly toasted on top to not be melted. I think I would have preferred it to be melted. There is also some crunchy lettuce. All of this is wrapped in a crispy piece of nori.0I upgraded to a set and chose the potato salad. Definitely don't waste your money and upgrade to the set. Or at at least not order the potato salad. Greasy and oily. This is definitely not a Japanese style potato salad as I tasted no addition mayo. The all important Japanese mayo! It just tasted like greasy mashed potato. Skip this. Seriously. Save your money.0Boyfriend ordered the $33 special burger which included a soft drink which was a boiled pork rice burger with soft boiled egg. So with the grilled rice patty and nori, you get pieces of pork and soft boiled egg inside. I don't know if they were trying to mimic the Taiwanese style pork bao? Anyways ... the pork was moist and just pull apart goodness.0The egg, however, did not look like anything like the photo. The photo showed quartered eggs with the soft egg yolk. The description was soft egg yolk. What we actually got was egg white and NO egg yolk. It was also some sad slivers of egg white at that.0Overall, taste was ok. I don't know if I'd return. I might as I live close enough but I'd try something else. I'd definitely stay away from the set upgrades. I saw the special drinks as well as some people ordered it and most were left unfinished. I was fairly full but boyfriend was still starving so if you have a large appetite, portions might not be enough."", ""I stumbled upon Kyoto's soft opening and I was glad I did.  They have a wide selection of rice burgers but I'm in love with the salmon rice burger. It's  very tasty and reasonably priced. The rice burger is crispy and made to order. I came back here several times after. Must try!""",www.openrice.com/en/hongkong/restaurant/wan-chai-33-kyoto/542826?tc=rvw2&con=rvw
9,5019 Premium Factory,Causeway Bay,Japanese,2.5,105.0,0.0,"My last visit was like 10 months ago. I remembered that the experience was not particularly memorable so hadn't really thought of coming back again until a friend suggested this place for lunch.My previous visit:https://www.openrice.com/zh/hongkong/review/%E8%A9%A6%E4%B8%80%E6%AC%A1%E5%B0%B1%E5%A4%A0-e3090558Booked a table for 6 about a week ago. It was such a sunny day which was quite hot and we were arranged to sit outdoors with no air-cond. The environment was quite bad really, with hardly any attention and no other customers sitting nearby. It was somewhere behind their kitchen having to pass through a super narrow corridor.Lunch Menu0Lunch MenuPrice had inflated by $7 +10%. This time I only tried their cheapest cheese burger with Wagyu Patty, chedder cheese, pickles, lettuce and tomato at $95 +10% including fries, salad, soup and a drink.Cheese Burger$ 1050Cheese Burger$ 105The cheese burger itself was actually ok. The bun was obviously toasted with slightly crispy thin surface. The cheese was rich enough and it had solidified by the time I ate it (seemed to have been melted a little bit when serving). The sauce was ok and it was juicy enough. The Wagyu patty was ok too, a bit dry and not particularly rich in beef but still a pass. However, the French fries, like last time, were very bad. They were obviously over deep-fried and were too oily. For some reason, they were so easy to break apart too. Really bad fries indeed. The salads were ok, with appropriate amount of dressing which was slightly to the oily side.Soup0SoupApart from the fries and salads which came along with the set, there was also a super tiny tomato soup. It was really so tiny and a bit too sour. Yet it was ok given that it was complimentary.A drink also came along with the meal. There was nothing special to talk about.There was nothing to talk about for the service. Again no reason to come back again given the quality of the food, the price, the location and especially the very bad environment this time. If you come, please be sure to ask for somewhere indoors. I would also humbly suggest that they tell the guests in advance if they have to arrange such seatings for the guests.""",www.openrice.com/en/hongkong/restaurant/causeway-bay-5019-premium-factory/597584?tc=rvw2&con=rvw
